track,tradition,v,tau,chi,zeta,C(4),Score,v_zone,tau_zone,state,effect
global_synthesis,georgian,-0.0897,0.1200,0.7143,1.34,0.120,44,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Gutnuri,georgian,-0.0942,0.1274,0.4950,1.35,0.042,31,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
svan,georgian,-0.1464,0.1246,0.5000,0.85,0.044,32,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Karabakhi,georgian,-0.1039,0.1221,0.7258,1.17,-0.063,43,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Perkhuli,georgian,-0.0849,0.1231,0.5691,1.45,-0.003,36,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Samaia,georgian,-0.0476,0.1218,0.6475,2.56,0.148,26,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Garekakhuri,georgian,-0.0306,0.1275,0.5556,4.17,-0.005,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Tamariani,georgian,-0.0909,0.1163,0.6471,1.28,0.030,41,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
kartli,georgian,-0.1464,0.1246,1.0101,0.85,-0.078,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Gandagana,georgian,-0.2174,0.1174,1.0714,0.54,-0.020,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Dala_Kojas,georgian,-0.1743,0.1259,1.0465,0.72,0.034,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Mival_Guriashi,georgian,0.0168,0.1217,0.5405,7.23,0.151,34,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Эпичность, grandeur"
Batonebo,georgian,-0.0667,0.1310,0.4396,1.97,-0.039,28,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Bichi_Bichi,georgian,-0.0056,0.1339,0.3529,20.00,-0.006,7,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Lazhghvash,georgian,-0.1545,0.1237,0.4000,0.80,-0.024,10,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Shen_Khar_Venakhi,georgian,-0.1126,0.1203,0.3759,1.07,-0.094,23,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Mtiuluri,georgian,-0.1340,0.1185,0.5036,0.88,0.024,17,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Svanuri_Simghera,georgian,-0.1566,0.1234,0.8654,0.79,-0.068,34,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Zari,georgian,-0.1438,0.1203,1.1200,0.84,0.057,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Kartuli_Tskhovreba,georgian,-0.0604,0.1213,0.5882,2.01,0.016,38,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
imereti,georgian,-0.2218,0.1220,0.5556,0.55,-0.134,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Chakrulo,georgian,-0.0557,0.1132,0.4327,2.03,-0.019,27,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Rachuli_Simghera,georgian,0.0325,0.1258,0.3150,3.87,0.023,10,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
